gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded
ENSG00000000003.15,TSPAN6,protein_coding,7910,3951,3959,115.0215,34.8612,35.2973
ENSG00000000005.6,TNMD,protein_coding,25,17,8,1.1172,0.3386,0.3428
ENSG00000000419.13,DPM1,protein_coding,4275,2131,2145,233.6171,70.8056,71.6913
ENSG00000000457.14,SCYL3,protein_coding,706,631,599,6.7655,2.0505,2.0762
ENSG00000000938.13,FGR,protein_coding,210,112,98,4.0956,1.2413,1.2568
ENSG00000000971.16,CFH,protein_coding,679,350,329,5.6123,1.701,1.7223
ENSG00000001036.14,FUCA2,protein_coding,3425,2548,2577,80.0533,24.2629,24.5664
ENSG00000001084.13,GCLC,protein_coding,860,503,501,6.5821,1.9949,2.0199
ENSG00000001167.14,NFYA,protein_coding,1051,541,573,18.1903,5.5132,5.5821
ENSG00000001461.17,NIPAL3,protein_coding,3205,1676,1583,22.4989,6.819,6.9043
ENSG00000001497.18,LAS1L,protein_coding,3161,1610,1565,16.6067,5.0332,5.0962
ENSG00000001561.7,ENPP4,protein_coding,881,440,442,12.5129,3.7925,3.8399
ENSG00000001617.12,SEMA3F,protein_coding,3639,1755,1888,49.736,15.0742,15.2627
ENSG00000001626.16,CFTR,protein_coding,23626,11996,11714,156.7445,47.5067,48.101
ENSG00000001629.10,ANKIB1,protein_coding,2727,1365,1371,24.3431,7.378,7.4703
ENSG00000001630.17,CYP51A1,protein_coding,243,120,124,4.5418,1.3766,1.3938
ENSG00000001631.16,KRIT1,protein_coding,439,227,221,4.6673,1.4146,1.4323
ENSG00000002016.18,RAD52,protein_coding,688,344,346,10.0777,3.0544,3.0926
ENSG00000002330.14,BAD,protein_coding,576,1392,1462,22.2439,6.7418,6.8261
ENSG00000002549.12,LAP3,protein_coding,7754,3889,3867,135.125,40.9542,41.4665
ENSG00000002586.20,CD99,protein_coding,7394,3318,4076,100.3917,30.4271,30.8077
ENSG00000002587.10,HS3ST1,protein_coding,713,352,365,6.3253,1.9171,1.9411
ENSG00000002726.21,AOC1,protein_coding,5889,2862,3027,102.5975,31.0957,31.4846
ENSG00000002745.13,WNT16,protein_coding,3,2,1,0.0606,0.0184,0.0186
ENSG00000002746.15,HECW1,protein_coding,21,13,14,0.0994,0.0301,0.0305
ENSG00000002822.15,MAD1L1,protein_coding,12,6,6,0.1095,0.0332,0.0336
ENSG00000002834.18,LASP1,protein_coding,16341,10271,10202,152.647,46.2648,46.8436
ENSG00000002919.15,SNX11,protein_coding,1240,663,577,19.7894,5.9978,6.0729
ENSG00000002933.9,TMEM176A,protein_coding,23674,11725,12014,449.0996,136.1149,137.8175
ENSG00000003056.8,M6PR,protein_coding,4187,2805,2605,77.0353,23.3482,23.6402
ENSG00000003096.14,KLHL13,protein_coding,103,51,52,0.9729,0.2949,0.2986
ENSG00000003137.8,CYP26B1,protein_coding,38,18,20,0.4998,0.1515,0.1534
ENSG00000003147.19,ICA1,protein_coding,5540,3065,3201,74.834,22.681,22.9647
ENSG00000003249.15,DBNDD1,protein_coding,913,434,482,13.4964,4.0905,4.1417
ENSG00000003393.15,ALS2,protein_coding,1184,614,570,7.4819,2.2676,2.296
ENSG00000003400.15,CASP10,protein_coding,1387,691,696,12.0677,3.6575,3.7033
ENSG00000003402.20,CFLAR,protein_coding,3572,1998,2052,10.4812,3.1767,3.2164
ENSG00000003436.16,TFPI,protein_coding,296,139,168,1.6667,0.5052,0.5115
ENSG00000003756.17,RBM5,protein_coding,3314,2709,2684,21.1054,6.3967,6.4767
ENSG00000003987.14,MTMR7,protein_coding,23,67,75,0.219,0.0664,0.0672
ENSG00000003989.18,SLC7A2,protein_coding,363,192,171,3.0289,0.918,0.9295
ENSG00000004059.11,ARF5,protein_coding,8561,4300,4365,309.4122,93.7779,94.9509
ENSG00000004139.14,SARM1,protein_coding,449,1581,1570,2.6669,0.8083,0.8184
ENSG00000004142.12,POLDIP2,protein_coding,7825,4301,4300,193.3076,58.5884,59.3213
ENSG00000004399.13,PLXND1,protein_coding,2828,1410,1418,19.5179,5.9156,5.9896
ENSG00000004455.17,AK2,protein_coding,8228,4149,4105,56.3857,17.0896,17.3034
ENSG00000004468.13,CD38,protein_coding,110,44,66,1.0581,0.3207,0.3247
ENSG00000004478.8,FKBP4,protein_coding,14047,9277,9548,179.4557,54.3901,55.0705
ENSG00000004487.17,KDM1A,protein_coding,7220,3655,3565,87.5415,26.5324,26.8643
ENSG00000004534.15,RBM6,protein_coding,3063,1485,1579,27.6796,8.3892,8.4942
ENSG00000004660.15,CAMKK1,protein_coding,721,362,359,6.398,1.9391,1.9634
ENSG00000004700.16,RECQL,protein_coding,624,819,800,10.8914,3.301,3.3423
ENSG00000004766.17,VPS50,protein_coding,1691,846,845,11.6683,3.5365,3.5807
ENSG00000004776.13,HSPB6,protein_coding,197,479,482,7.5371,2.2844,2.313
ENSG00000004777.18,ARHGAP33,protein_coding,225,124,130,2.8215,0.8551,0.8658
ENSG00000004779.10,NDUFAB1,protein_coding,3516,1762,1754,149.8144,45.4064,45.9743
ENSG00000004799.8,PDK4,protein_coding,583,281,302,8.4626,2.5649,2.597
ENSG00000004809.14,SLC22A16,protein_coding,4,3,1,0.0675,0.0205,0.0207
ENSG00000004838.14,ZMYND10,protein_coding,21,12,19,0.4795,0.1453,0.1471
ENSG00000004846.16,ABCB5,protein_coding,3,1,2,0.0214,0.0065,0.0066
ENSG00000004848.8,ARX,protein_coding,1,1,0,0.0212,0.0064,0.0065
ENSG00000004864.14,SLC25A13,protein_coding,2473,1215,1258,43.9669,13.3257,13.4924
ENSG00000004866.22,ST7,protein_coding,1490,842,839,15.0597,4.5643,4.6214
ENSG00000004897.12,CDC27,protein_coding,2094,1070,1105,20.2401,6.1345,6.2112
ENSG00000004939.15,SLC4A1,protein_coding,0,0,0,0.0,0.0,0.0
ENSG00000004948.16,CALCR,protein_coding,1,1,0,0.0156,0.0047,0.0048
ENSG00000004961.15,HCCS,protein_coding,2037,1023,1015,57.3449,17.3803,17.5977
ENSG00000004975.12,DVL2,protein_coding,1783,901,885,22.1021,6.6988,6.7826
ENSG00000005001.10,PRSS22,protein_coding,3351,1729,1694,92.7137,28.1,28.4515
ENSG00000005007.13,UPF1,protein_coding,14526,7286,7241,111.7607,33.8729,34.2966
ENSG00000005020.13,SKAP2,protein_coding,687,349,338,8.4525,2.5618,2.5939
ENSG00000005022.6,SLC25A5,protein_coding,22617,13282,13182,959.3572,290.7658,294.4029
ENSG00000005059.16,MCUB,protein_coding,1175,668,646,21.8009,6.6075,6.6901
ENSG00000005073.6,HOXA11,protein_coding,90,60,48,2.2242,0.6741,0.6825
ENSG00000005075.15,POLR2J,protein_coding,2922,1480,1476,142.2383,43.1102,43.6494
ENSG00000005100.13,DHX33,protein_coding,1258,602,656,14.3335,4.3443,4.3986
ENSG00000005102.14,MEOX1,protein_coding,39,21,18,0.962,0.2916,0.2952
ENSG00000005108.16,THSD7A,protein_coding,64,29,36,0.3865,0.1172,0.1186
ENSG00000005156.12,LIG3,protein_coding,1552,1460,1433,7.9349,2.405,2.435
ENSG00000005175.10,RPAP3,protein_coding,1667,808,859,20.5522,6.229,6.3069
ENSG00000005187.12,ACSM3,protein_coding,780,687,718,6.8506,2.0763,2.1023
ENSG00000005189.20,REXO5,protein_coding,355,177,191,5.6958,1.7263,1.7479
ENSG00000005194.15,CIAPIN1,protein_coding,2970,1530,1441,57.9069,17.5506,17.7702
ENSG00000005206.17,SPPL2B,protein_coding,7291,3666,3625,64.8213,19.6463,19.892
ENSG00000005238.20,FAM214B,protein_coding,810,373,437,8.3807,2.5401,2.5718
ENSG00000005243.10,COPZ2,protein_coding,155,72,83,5.4789,1.6606,1.6813
ENSG00000005249.13,PRKAR2B,protein_coding,68,32,36,1.0524,0.319,0.3229
