gene_id,gene_name,approved_columns
ENSG00000000003.15,TSPAN6,4
ENSG00000000005.6,TNMD,5
ENSG00000000419.13,DPM1,6
ENSG00000000457.14,SCYL3,7
ENSG00000000938.13,FGR,9
ENSG00000000971.16,CFH,10
ENSG00000001036.14,FUCA2,11
ENSG00000001084.13,GCLC,12
ENSG00000001167.14,NFYA,13
ENSG00000001461.17,NIPAL3,15
ENSG00000001497.18,LAS1L,16
ENSG00000001561.7,ENPP4,17
ENSG00000001617.12,SEMA3F,18
ENSG00000001626.16,CFTR,19
ENSG00000001629.10,ANKIB1,20
ENSG00000001630.17,CYP51A1,21
ENSG00000001631.16,KRIT1,22
ENSG00000002016.18,RAD52,23
ENSG00000002330.14,BAD,25
ENSG00000002549.12,LAP3,26
ENSG00000002586.20,CD99,27
ENSG00000002587.10,HS3ST1,29
ENSG00000002726.21,AOC1,30
ENSG00000002745.13,WNT16,31
ENSG00000002746.15,HECW1,32
ENSG00000002822.15,MAD1L1,33
ENSG00000002834.18,LASP1,34
ENSG00000002919.15,SNX11,35
ENSG00000002933.9,TMEM176A,36
ENSG00000003056.8,M6PR,37
ENSG00000003096.14,KLHL13,38
ENSG00000003137.8,CYP26B1,39
ENSG00000003147.19,ICA1,40
ENSG00000003249.15,DBNDD1,41
ENSG00000003393.15,ALS2,42
ENSG00000003400.15,CASP10,43
ENSG00000003402.20,CFLAR,44
ENSG00000003436.16,TFPI,45
ENSG00000003756.17,RBM5,47
ENSG00000003987.14,MTMR7,48
ENSG00000003989.18,SLC7A2,49
ENSG00000004059.11,ARF5,50
ENSG00000004139.14,SARM1,51
ENSG00000004142.12,POLDIP2,52
ENSG00000004399.13,PLXND1,53
ENSG00000004455.17,AK2,54
ENSG00000004468.13,CD38,55
ENSG00000004478.8,FKBP4,56
ENSG00000004487.17,KDM1A,57
ENSG00000004534.15,RBM6,58
ENSG00000004660.15,CAMKK1,59
ENSG00000004700.16,RECQL,60
ENSG00000004766.17,VPS50,61
ENSG00000004776.13,HSPB6,62
ENSG00000004777.18,ARHGAP33,63
ENSG00000004779.10,NDUFAB1,64
ENSG00000004799.8,PDK4,65
ENSG00000004809.14,SLC22A16,66
ENSG00000004838.14,ZMYND10,67
ENSG00000004846.16,ABCB5,68
ENSG00000004848.8,ARX,69
ENSG00000004864.14,SLC25A13,70
ENSG00000004866.22,ST7,71
ENSG00000004897.12,CDC27,72
ENSG00000004939.15,SLC4A1,73
ENSG00000004948.16,CALCR,74
ENSG00000004961.15,HCCS,75
ENSG00000004975.12,DVL2,76
ENSG00000005001.10,PRSS22,77
ENSG00000005007.13,UPF1,78
ENSG00000005020.13,SKAP2,79
ENSG00000005022.6,SLC25A5,80
ENSG00000005059.16,MCUB,81
ENSG00000005073.6,HOXA11,82
ENSG00000005075.15,POLR2J,83
ENSG00000005100.13,DHX33,84
ENSG00000005102.14,MEOX1,85
ENSG00000005108.16,THSD7A,86
ENSG00000005156.12,LIG3,87
ENSG00000005175.10,RPAP3,88
ENSG00000005187.12,ACSM3,89
ENSG00000005189.20,REXO5,90
ENSG00000005194.15,CIAPIN1,91
