imp_coeffs,gene_name,gene_id
0.0075007353787179,CDKL2,ENSG00000138769.11
0.0072488916568419,BIRC8,ENSG00000163098.6
0.0070456962970157,KCNG3,ENSG00000171126.8
0.0070302387448344,THSD7A,ENSG00000005108.16
0.0065851836985139,ASPA,ENSG00000108381.11
0.0065064741923011,RELCH,ENSG00000134444.15
0.0064765361039819,PLK3,ENSG00000173846.13
0.0064721545638263,OR51A7,ENSG00000176895.9
0.0064556307907622,LRRC3B,ENSG00000179796.12
0.0064202863032373,MARCHF3,ENSG00000173926.6
0.0063689004501993,ACP2,ENSG00000134575.13
0.0062937307964818,GTF2E1,ENSG00000153767.10
0.0062719154761298,PTK7,ENSG00000112655.16
0.0062587166928105,KRT35,ENSG00000197079.8
0.0062046086391606,TNNI2,ENSG00000130598.16
0.0061838145479178,GRB10,ENSG00000106070.20
0.0061412783340035,SPAG16,ENSG00000144451.19
0.006138218888976,CYP2A13,ENSG00000197838.5
0.0060945892927504,MCM6,ENSG00000076003.5
0.0060911175570781,ZNF354C,ENSG00000177932.7
0.0060838923562597,OR52W1,ENSG00000175485.2
0.0060670471151441,HCST,ENSG00000126264.10
0.0060446395630802,ZBTB37,ENSG00000185278.15
0.0059631442521693,CSF1,ENSG00000184371.14
0.0059293291368389,NAA50,ENSG00000121579.13
0.0059184543611466,IRF7,ENSG00000185507.21
0.005911082805726,SARAF,ENSG00000133872.14
0.0059056805963316,LARP6,ENSG00000166173.11
0.0059012098107163,ZFP92,ENSG00000189420.8
0.005884530779025,INSIG1,ENSG00000186480.13
0.0058801317456685,TFB2M,ENSG00000162851.8
0.0058801247793198,AQP9,ENSG00000103569.10
0.0058698155936982,AXIN1,ENSG00000103126.15
0.0058179138728512,RGS19,ENSG00000171700.14
0.0058011096573384,GPATCH1,ENSG00000076650.7
0.005793060195398,DPM2,ENSG00000136908.18
0.0057703305670802,GNG5P2,ENSG00000133136.4
0.0057459316960659,DYRK2,ENSG00000127334.11
0.0057429348223254,ANKH,ENSG00000154122.14
0.0057415722818346,FFAR3,ENSG00000185897.7
0.005731190921434,NAA16,ENSG00000172766.19
0.0057282201783141,MFSD8,ENSG00000164073.11
0.0057268108942477,CCNC,ENSG00000112237.13
0.0057210149819908,CCNL1,ENSG00000163660.12
0.0057177335484078,DEPDC4,ENSG00000166153.16
0.0057064950121051,ICAM1,ENSG00000090339.9
0.0057021050672515,PDCL,ENSG00000136940.14
0.0056908765055134,AGR2,ENSG00000106541.12
0.0056686008296976,FUT9,ENSG00000172461.11
